Situação;Email
Transferência não contemplada;"Imóveis:  transferenciaimoveis@ademicon.com.br
Veículos: transferenciaveiculos@ademicon.com.br
Serviços: transferenciaservicos@ademicon.com.br"
Contemplação, Boletos de lance, ajuste de parcela após a contemplação, descontemplação e baixa do lance;"Imóveis:  contemplacaoimoveis@ademicon.com.br
Veículos: contemplacaoveiculos@ademicon.com.br
Serviços: contemplacaoservicos@ademicon.com.br"
Liberação FGTS, emissão de anuências para imóveis e veículos alienados, transf. cotas contempladas, inclusão de garantia, gravames, programação de pagamento;formalizacao@ademicon.com.br
Liberação de crédito e transferencia contemplada;"""Imóveis:  creditoimoveis@ademicon.com.br
Veículos: creditoveiculos@ademicon.com.br
Serviços: creditoservicos@ademicon.com.br"""
Cancelamento de cotas;cancelamento@ademicon.com.br
Retenção, reativação cotas não contempladas;"Imóveis:  retencao@ademicon.com.br
Veículos: negociacao@ademicon.com.br
Serviços: retencao@ademicon.com.br"
Suporte ao cliente;"atendimento@ademicon.com.br
41 3023-2000"
Atendimento ao consultor;"nac@ademicon.com.br
41 3411-4444"
Contemplay;"4134114427
contemplay@ademicon.com.br"
Home Equity;homequity@ademicon.com.br
Car Equity;carequity@ademicon.com.br
Cota Equity;cotaequity@ademicon.com.br
Antecipay;antecipay@ademicon.com.br
Ademicon Store;atendimento@ademiconstore.com.br
Parcela em atraso cota contemplada;
cobrança administrativa/boleto em atraso de cota contemplada;"tayline.preto@ademicon.com.br
aline.padua@ademicon.com.br"
Seguro cotas não contempladas;"
seguros@ademicon.com.br
41 99164-1453 "
Seguro cotas contempladas ;"seguros@ademicon.com.br
e o telefone 41 99670-7812"
Existem cotas no jurídico com 3 situações de cobrança: Ação Judicial, pré ação judicial, notificação - jurídico. Não mandar extrato ou passar informações financeiras aos clientes que estiverem com a situação de cobrança AÇÃO JUDICIAL. Nesses casos, devemos direcionar para o atendimento da equipe da Dra. Mariana.;"WhatsApp: (41) 99548-7939 
WhatsApp: (41) 99605-0507 
Fixo: (41) 3028-9776 
E-mail: cobranca@mswjuridico.com"
Existem cotas no jurídico com 3 situações de cobrança: Ação Judicial, pré ação judicial, notificação - jurídico. Não mandar extrato ou passar informações financeiras aos clientes que estiverem com a situação de cobrança AÇÃO JUDICIAL. Nesses casos, devemos direcionar para o atendimento da equipe da Dra. Mariana.;"Recupera 
Telefone e WhatsApp: (41) 3411-9444
contato@recuperagc.com.br"
Consclic*;"telefone ou whats : 41 99223-1500
 ou pelo e-mail
contato@consclic.com.br"
Simone Avalipar;"35383021 
987639082"
Consorcio BTG (Consultor);"Diego Ferreira Machado
WhatsApp: (41) 9106-1077"
