Situacao;Email
Transferencia nao contemplada;"Imoveis:  transferenciaimoveis@ademicon.com.br
Veículos: transferenciaveiculos@ademicon.com.br
Servicos: transferenciaservicos@ademicon.com.br"
Contemplacao, Boletos de lance, ajuste de parcela apos a Contemplacao, desContemplacao e baixa do lance;"Imoveis:  contemplacaoimoveis@ademicon.com.br
Veículos: contemplacaoveiculos@ademicon.com.br
Servicos: contemplacaoservicos@ademicon.com.br"
Liberacao FGTS, emissao de anuências para imoveis e veículos alienados, transf. cotas contempladas, inclusao de garantia, gravames, programacao de pagamento;formalizacao@ademicon.com.br
Liberacao de credito e transferencia contemplada;"""Imoveis:  creditoimoveis@ademicon.com.br
Veículos: creditoveiculos@ademicon.com.br
Servicos: creditoservicos@ademicon.com.br"""
Cancelamento de cotas;cancelamento@ademicon.com.br
Retencao, reativacao cotas nao contempladas;"Imoveis:  retencao@ademicon.com.br
Veículos: negociacao@ademicon.com.br
Servicos: retencao@ademicon.com.br"
Suporte ao cliente;"atendimento@ademicon.com.br
41 3023-2000"
Atendimento ao consultor;"nac@ademicon.com.br
41 3411-4444"
Contemplay;"4134114427
contemplay@ademicon.com.br"
Home Equity;homequity@ademicon.com.br
Car Equity;carequity@ademicon.com.br
Cota Equity;cotaequity@ademicon.com.br
Antecipay;antecipay@ademicon.com.br
Ademicon Store;atendimento@ademiconstore.com.br
Parcela em atraso cota contemplada;
cobranca administrativa/boleto em atraso de cota contemplada;"tayline.preto@ademicon.com.br
aline.padua@ademicon.com.br"
Seguro cotas nao contempladas;"
seguros@ademicon.com.br
41 99164-1453 "
Seguro cotas contempladas ;"seguros@ademicon.com.br
e o telefone 41 99670-7812"
Existem cotas no jurídico com 3 situacoes de cobranca: acao Judicial, pré acao judicial, notificacao - jurídico. Nao mandar extrato ou passar informacoes financeiras aos clientes que estiverem com a situacao de cobranca acao JUDICIAL. Nesses casos, devemos direcionar para o atendimento da equipe da Dra. Mariana.;"WhatsApp: (41) 99548-7939 
WhatsApp: (41) 99605-0507 
Fixo: (41) 3028-9776 
E-mail: cobranca@mswjuridico.com"
Existem cotas no jurídico com 3 situacoes de cobranca: acao Judicial, pré acao judicial, notificacao - jurídico. Nao mandar extrato ou passar informacoes financeiras aos clientes que estiverem com a situacao de cobranca acao JUDICIAL. Nesses casos, devemos direcionar para o atendimento da equipe da Dra. Mariana.;"Recupera 
Telefone e WhatsApp: (41) 3411-9444
contato@recuperagc.com.br"
Consclic*;"telefone ou whats : 41 99223-1500
 ou pelo e-mail
contato@consclic.com.br"
Simone Avalipar;"35383021 
987639082"
Consorcio BTG (Consultor);"Diego Ferreira Machado
WhatsApp: (41) 9106-1077"
